"Time","Value","WithError","Extra"
"2023/10/05 14:15:05 4420","0.0280252508819103","False",""
"2023/10/05 14:15:05 5921","0.0232313927263021","False",""
"2023/10/05 14:15:05 7565","0.0160556957125664","False",""
"2023/10/05 14:15:05 9123","0.00894030369818211","False",""
"2023/10/05 14:15:06 0853","0.00719160726293921","False",""
"2023/10/05 14:15:06 2529","0.0041464464738965","False",""
"2023/10/05 14:15:06 4216","0.00122189265675843","False",""
"2023/10/05 14:15:06 7077","0.0876318067312241","False",""
"2023/10/05 14:15:06 8395","0.0811194032430649","False",""
"2023/10/05 14:15:06 9715","0.0852800980210304","False",""
"2023/10/05 14:15:07 1123","0.0809083506464958","False",""
"2023/10/05 14:15:07 2388","0.085430845618248","False",""
"2023/10/05 14:15:07 3614","0.0851293504238129","False",""
"2023/10/05 14:15:07 4832","0.0910689011216164","False",""
"2023/10/05 14:15:07 6046","0.0911895036697388","False",""
"2023/10/05 14:15:07 7338","0.0997219458222389","False",""
"2023/10/05 14:15:07 8550","0.0978225022554398","False",""
"2023/10/05 14:15:07 9769","0.101651556789875","False",""
"2023/10/05 14:15:08 1141","0.104485653340816","False",""
"2023/10/05 14:15:08 2381","0.110063403844833","False",""
"2023/10/05 14:15:08 3792","0.106807194650173","False",""
"2023/10/05 14:15:08 5068","0.111812099814415","False",""
"2023/10/05 14:15:08 6391","0.115822054445744","False",""
"2023/10/05 14:15:08 7638","0.114857248961926","False",""
"2023/10/05 14:15:08 9073","0.117148652672768","False",""
"2023/10/05 14:15:09 0537","0.114193946123123","False",""
"2023/10/05 14:15:09 1963","0.117721498012543","False",""
"2023/10/05 14:15:09 3388","0.123811803758144","False",""
"2023/10/05 14:15:09 4656","0.118445098400116","False",""
"2023/10/05 14:15:09 6907","0.0401455536484718","False",""
"2023/10/05 14:15:09 9578","0.00544289266690612","False",""
"2023/10/05 14:15:10 1212","0.00679964246228337","False",""
"2023/10/05 14:15:10 2819","0.0140356430783868","False",""
"2023/10/05 14:15:10 4455","0.0175631958991289","False",""
"2023/10/05 14:15:10 6095","0.0380350537598133","False",""
