"Instant0","-0.4","-0.4","0.00520169641822577","False","False","276195206.245156","2023-10-02-16-53-26-0245"
"","0.344827583432198","-0.4","0.00411630375310779","False","False","276195215.048327","2023-10-02-16-53-35-0048",""
"","0.372413790225983","-0.4","0.00381480366922915","False","False","276195215.382693","2023-10-02-16-53-35-0382",""
"","0.399999997019768","-0.4","0.00360374990850687","False","False","276195215.717637","2023-10-02-16-53-35-0717",""
"","0.399999997019768","-0.372413793206215","0.00384494639001787","False","False","276195216.031761","2023-10-02-16-53-36-0031",""
"","0.372413790225983","-0.372413793206215","0.00408614287152886","False","False","276195216.358453","2023-10-02-16-53-36-0358",""
"","0.344827583432198","-0.372413793206215","0.00354344630613923","False","False","276195216.673238","2023-10-02-16-53-36-0673",""
"","0.317241376638412","-0.372413793206215","0.00411630375310779","False","False","276195216.991197","2023-10-02-16-53-36-0991",""
"","0.289655169844627","-0.372413793206215","0.00471930345520377","False","False","276195217.314791","2023-10-02-16-53-37-0314",""
"","0.262068963050842","-0.372413793206215","0.00462885713204741","False","False","276195217.637144","2023-10-02-16-53-37-0637",""
"","0.234482756257057","-0.372413793206215","0.00375450006686151","False","False","276195217.95795","2023-10-02-16-53-37-0957",""
"","0.206896549463272","-0.372413793206215","0.00399569654837251","False","False","276195218.269013","2023-10-02-16-53-38-0269",""
"","0.179310342669487","-0.372413793206215","0.00471930345520377","False","False","276195218.592911","2023-10-02-16-53-38-0592",""
"","0.151724135875702","-0.372413793206215","0.0047796075232327","False","False","276195218.910146","2023-10-02-16-53-38-0910",""
"","0.124137929081917","-0.372413793206215","0.00483989249914885","False","False","276195219.222819","2023-10-02-16-53-39-0222",""
"","0.0965517222881317","-0.372413793206215","0.00514139281585813","False","False","276195219.544306","2023-10-02-16-53-39-0544",""
"","0.0689655154943466","-0.372413793206215","0.00468914257362485","False","False","276195219.870688","2023-10-02-16-53-39-0870",""
"","0.0413793087005615","-0.372413793206215","0.00499064242467284","False","False","276195220.205231","2023-10-02-16-53-40-0205",""
"","0.0137931019067764","-0.372413793206215","0.00408614287152886","False","False","276195220.535815","2023-10-02-16-53-40-0535",""
"","-0.0137931048870087","-0.372413793206215","0.0047796075232327","False","False","276195220.864968","2023-10-02-16-53-40-0864",""
"","-0.0413793116807938","-0.372413793206215","0.00459869625046849","False","False","276195221.18901","2023-10-02-16-53-41-0189",""
"","-0.0689655184745789","-0.372413793206215","0.00432735728099942","False","False","276195221.512529","2023-10-02-16-53-41-0512",""
"","-0.096551725268364","-0.372413793206215","0.00490019610151649","False","False","276195221.845788","2023-10-02-16-53-41-0845",""
"","-0.124137932062149","-0.372413793206215","0.00499064242467284","False","False","276195222.175393","2023-10-02-16-53-42-0175",""
"","-0.151724138855934","-0.372413793206215","0.00480974977836013","False","False","276195222.505097","2023-10-02-16-53-42-0505",""
"","-0.179310345649719","-0.372413793206215","0.00399569654837251","False","False","276195222.827689","2023-10-02-16-53-42-0827",""
"","-0.206896552443504","-0.372413793206215","0.00417660735547543","False","False","276195223.155161","2023-10-02-16-53-43-0155",""
"","-0.234482759237289","-0.372413793206215","0.00411630375310779","False","False","276195223.473342","2023-10-02-16-53-43-0473",""
"","-0.262068966031075","-0.372413793206215","0.00420675007626414","False","False","276195223.784245","2023-10-02-16-53-43-0784",""
"","-0.28965517282486","-0.372413793206215","0.00447810720652342","False","False","276195224.103207","2023-10-02-16-53-44-0103",""
"","-0.317241379618645","-0.372413793206215","0.00399569654837251","False","False","276195224.422666","2023-10-02-16-53-44-0422",""
"","-0.34482758641243","-0.372413793206215","0.00465899985283613","False","False","276195224.752407","2023-10-02-16-53-44-0752",""
"","-0.372413793206215","-0.372413793206215","0.00453839264810085","False","False","276195225.079456","2023-10-02-16-53-45-0079",""
"","-0.4","-0.372413793206215","0.00490019610151649","False","False","276195225.415689","2023-10-02-16-53-45-0415",""
"","-0.4","-0.34482758641243","0.00399569654837251","False","False","276195225.742504","2023-10-02-16-53-45-0742",""
"","-0.372413793206215","-0.34482758641243","0.00435750000178814","False","False","276195226.071102","2023-10-02-16-53-46-0071",""
"","-0.34482758641243","-0.34482758641243","0.00405600015074015","False","False","276195226.408744","2023-10-02-16-53-46-0408",""
